s,x,y,d,ID,sex,genus,species
1608,217,310,mothra03.0810.0300,99.9%_s10g15,female,ostrinia,nubilalis
255,404,556,mothra03.0810.0302,99.9%_s10g15,female,ostrinia,nubilalis
4972,708,1378,mothra03.0810.0302,99.9%_s10g15,female,ostrinia,nubilalis
6589,319,280,mothra03.0810.0304,99.9%_s10g15,female,ostrinia,nubilalis
6029,671,533,mothra03.0810.0304,99.9%_s10g15,female,ostrinia,nubilalis
1279,308,314,mothra03.0810.0306,99.9%_s10g15,female,ostrinia,nubilalis
3982,637,1574,mothra03.0810.0306,99.9%_s10g15,female,ostrinia,nubilalis
7443,1280,1573,mothra03.0810.0306,99.9%_s10g15,female,ostrinia,nubilalis
5092,136,520,mothra03.0810.0308,99.9%_s10g15,female,ostrinia,nubilalis
948,752,1395,mothra03.0810.0310,99.9%_s10g15,female,ostrinia,nubilalis
750,706,1409,mothra03.0810.0310,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0312,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0314,99.9%_s10g15,female,ostrinia,nubilalis
2.00E+06,0,0,mothra03.0810.0316,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0318,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0320,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0322,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0324,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0326,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0328,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0330,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0332,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0334,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0336,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0338,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0340,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0342,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0344,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0346,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0348,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0350,99.9%_s10g15,female,ostrinia,nubilalis
0,NA,NA,mothra03.0810.0352,99.9%_s10g15,female,ostrinia,nubilalis
