"s","x","y","d","ID","sex","genus","species"
0,NA,NA,"mothra02.0823.0300","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0302","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0304","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0306","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0308","99.9%_s10g15","female","ostrinia","nubilalis"
1360,155,509,"mothra02.0823.0310","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0312","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0314","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0316","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0318","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0320","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0322","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0324","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0326","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0328","99.9%_s10g15","female","ostrinia","nubilalis"
388,1054,783,"mothra02.0823.0330","99.9%_s10g15","female","ostrinia","nubilalis"
1123,142,542,"mothra02.0823.0332","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0334","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0336","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0338","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0340","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0342","99.9%_s10g15","female","ostrinia","nubilalis"
1665,161,526,"mothra02.0823.0344","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0346","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0348","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0350","99.9%_s10g15","female","ostrinia","nubilalis"
167,939,5,"mothra02.0823.0352","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0354","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0356","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0358","99.9%_s10g15","female","ostrinia","nubilalis"
240,1058,784,"mothra02.0823.0400","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0402","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0404","99.9%_s10g15","female","ostrinia","nubilalis"
6335,140,697,"mothra02.0823.0406","99.9%_s10g15","female","ostrinia","nubilalis"
6015,172,1043,"mothra02.0823.0408","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0410","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0412","99.9%_s10g15","female","ostrinia","nubilalis"
554,186,1082,"mothra02.0823.0414","99.9%_s10g15","female","ostrinia","nubilalis"
873,933,19,"mothra02.0823.0416","99.9%_s10g15","female","ostrinia","nubilalis"
6339,860,100,"mothra02.0823.0418","99.9%_s10g15","female","ostrinia","nubilalis"
832,47,588,"mothra02.0823.0420","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0422","99.9%_s10g15","female","ostrinia","nubilalis"
692,180,1014,"mothra02.0823.0424","99.9%_s10g15","female","ostrinia","nubilalis"
2637,219,1046,"mothra02.0823.0424","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0426","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0428","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0430","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0432","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0434","99.9%_s10g15","female","ostrinia","nubilalis"
928,1014,824,"mothra02.0823.0436","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0438","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0440","99.9%_s10g15","female","ostrinia","nubilalis"
3782,975,792,"mothra02.0823.0442","99.9%_s10g15","female","ostrinia","nubilalis"
6218,481,940,"mothra02.0823.0444","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0446","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0448","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0450","99.9%_s10g15","female","ostrinia","nubilalis"
1660,216,1005,"mothra02.0823.0452","99.9%_s10g15","female","ostrinia","nubilalis"
649,250,1044,"mothra02.0823.0452","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0454","99.9%_s10g15","female","ostrinia","nubilalis"
3213,255,1017,"mothra02.0823.0456","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0458","99.9%_s10g15","female","ostrinia","nubilalis"
3087,280,1052,"mothra02.0823.0500","99.9%_s10g15","female","ostrinia","nubilalis"
922,249,1008,"mothra02.0823.0502","99.9%_s10g15","female","ostrinia","nubilalis"
517,245,1063,"mothra02.0823.0502","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0504","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0506","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0508","99.9%_s10g15","female","ostrinia","nubilalis"
3217,303,1040,"mothra02.0823.0510","99.9%_s10g15","female","ostrinia","nubilalis"
1641,305,999,"mothra02.0823.0512","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0514","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0516","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0518","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0520","99.9%_s10g15","female","ostrinia","nubilalis"
626,490,904,"mothra02.0823.0522","99.9%_s10g15","female","ostrinia","nubilalis"
271,479,886,"mothra02.0823.0524","99.9%_s10g15","female","ostrinia","nubilalis"
1167,444,933,"mothra02.0823.0524","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0526","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0528","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0530","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0532","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0534","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0536","99.9%_s10g15","female","ostrinia","nubilalis"
2908,331,1004,"mothra02.0823.0538","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0540","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0542","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0544","99.9%_s10g15","female","ostrinia","nubilalis"
2403,509,912,"mothra02.0823.0546","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0548","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0550","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0552","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0554","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0556","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0558","99.9%_s10g15","female","ostrinia","nubilalis"
4192,81,702,"mothra02.0823.0600","99.9%_s10g15","female","ostrinia","nubilalis"
15750,323,242,"mothra02.0823.0602","99.9%_s10g15","female","ostrinia","nubilalis"
330,514,887,"mothra02.0823.0604","99.9%_s10g15","female","ostrinia","nubilalis"
270,529,950,"mothra02.0823.0604","99.9%_s10g15","female","ostrinia","nubilalis"
3074,96,1141,"mothra02.0823.0606","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0608","99.9%_s10g15","female","ostrinia","nubilalis"
5764,292,781,"mothra02.0823.0610","99.9%_s10g15","female","ostrinia","nubilalis"
4102,331,794,"mothra02.0823.0612","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0614","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0616","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0618","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0620","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0622","99.9%_s10g15","female","ostrinia","nubilalis"
804,447,917,"mothra02.0823.0624","99.9%_s10g15","female","ostrinia","nubilalis"
1112,489,961,"mothra02.0823.0624","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0626","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0628","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0630","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0632","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0634","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0636","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0638","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0640","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0642","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0644","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0646","99.9%_s10g15","female","ostrinia","nubilalis"
6725,322,342,"mothra02.0823.0648","99.9%_s10g15","female","ostrinia","nubilalis"
6415,171,915,"mothra02.0823.0650","99.9%_s10g15","female","ostrinia","nubilalis"
642,313,750,"mothra02.0823.0652","99.9%_s10g15","female","ostrinia","nubilalis"
4985,78,963,"mothra02.0823.0652","99.9%_s10g15","female","ostrinia","nubilalis"
3429,371,794,"mothra02.0823.0654","99.9%_s10g15","female","ostrinia","nubilalis"
5320,1049,1473,"mothra02.0823.0654","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0656","99.9%_s10g15","female","ostrinia","nubilalis"
480,329,810,"mothra02.0823.0658","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0700","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0702","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0704","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0706","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0708","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0710","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0712","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0714","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0716","99.9%_s10g15","female","ostrinia","nubilalis"
1530,1004,1476,"mothra02.0823.0718","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0720","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0722","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0724","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0726","99.9%_s10g15","female","ostrinia","nubilalis"
3503,367,755,"mothra02.0823.0728","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0730","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0732","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0734","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0736","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0738","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0740","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0742","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0744","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0746","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0748","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0750","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0752","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0754","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0756","99.9%_s10g15","female","ostrinia","nubilalis"
0,NA,NA,"mothra02.0823.0758","99.9%_s10g15","female","ostrinia","nubilalis"
