"s","x","y","d","ID","sex","genus","species"
352,1402,562,"mothra03.0707.2100","99.9%_s10g15","male","photinus","marginellus"
136,474,4,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
794,1601,388,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
341,1633,596,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
546,1711,761,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
3515,1714,864,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
1463,1701,999,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
443,633,990,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
1170,1681,1082,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
756,1665,1139,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
1098,971,1394,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
34672,791,1512,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
1048,1034,1489,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
315,1028,1528,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
561,684,1593,"mothra03.0707.2102","99.9%_s10g15","male","photinus","marginellus"
200,914,5,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
402,1650,21,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
1273,1355,635,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
1463,689,989,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
2201,842,1007,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
1386,987,1239,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
1140,1440,1503,"mothra03.0707.2104","99.9%_s10g15","male","photinus","marginellus"
1427,727,233,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1785,461,317,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1484,1057,769,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
642,93,788,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1362,415,1247,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1491,1409,1304,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1282,1588,1457,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
625,546,1452,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1027,622,1547,"mothra03.0707.2106","99.9%_s10g15","male","photinus","marginellus"
1086,406,159,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
1818,1713,354,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
1265,835,510,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
992,1681,522,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
839,1642,522,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
1362,577,531,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
907,1692,781,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
752,1728,787,"mothra03.0707.2108","99.9%_s10g15","male","photinus","marginellus"
