"s","x","y","d","ID","sex","genus","species"
2e+06,0,0,"mothra01.0615.2100","99.9%_s10g15","male","photinus","obscurellus"
2e+06,0,0,"mothra01.0615.2102","99.9%_s10g15","male","photinus","obscurellus"
3138,1425,663,"mothra01.0615.2104","99.9%_s10g15","male","photinus","obscurellus"
2723,297,754,"mothra01.0615.2104","99.9%_s10g15","male","photinus","obscurellus"
3393,575,1130,"mothra01.0615.2104","99.9%_s10g15","male","photinus","obscurellus"
225,1693,578,"mothra01.0615.2106","99.9%_s10g15","male","photinus","obscurellus"
2843,987,884,"mothra01.0615.2106","99.9%_s10g15","male","photinus","obscurellus"
2466,1083,717,"mothra01.0615.2108","99.9%_s10g15","male","photinus","obscurellus"
609,282,740,"mothra01.0615.2108","99.9%_s10g15","male","photinus","obscurellus"
1209,1747,1066,"mothra01.0615.2108","99.9%_s10g15","male","photinus","obscurellus"
2643,1696,654,"mothra01.0615.2110","99.9%_s10g15","male","photinus","obscurellus"
3205,995,756,"mothra01.0615.2110","99.9%_s10g15","male","photinus","obscurellus"
3680,293,1191,"mothra01.0615.2110","99.9%_s10g15","male","photinus","obscurellus"
3881,774,32,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
2667,808,1150,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
2658,748,1182,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
2456,814,1218,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
2874,1208,1472,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
1253,1389,1554,"mothra01.0615.2112","99.9%_s10g15","male","photinus","obscurellus"
2396,1034,27,"mothra01.0615.2114","99.9%_s10g15","male","photinus","obscurellus"
2744,1021,302,"mothra01.0615.2114","99.9%_s10g15","male","photinus","obscurellus"
2974,1409,494,"mothra01.0615.2114","99.9%_s10g15","male","photinus","obscurellus"
2790,712,1133,"mothra01.0615.2114","99.9%_s10g15","male","photinus","obscurellus"
1927,1678,1363,"mothra01.0615.2114","99.9%_s10g15","male","photinus","obscurellus"
2320,906,241,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
935,1619,423,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
3076,1311,806,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
2620,1314,957,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
1918,1761,998,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
2798,1431,1078,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
2925,1426,1515,"mothra01.0615.2116","99.9%_s10g15","male","photinus","obscurellus"
1229,1705,619,"mothra01.0615.2118","99.9%_s10g15","male","photinus","obscurellus"
2581,1114,743,"mothra01.0615.2118","99.9%_s10g15","male","photinus","obscurellus"
2620,249,774,"mothra01.0615.2118","99.9%_s10g15","male","photinus","obscurellus"
2341,49,974,"mothra01.0615.2118","99.9%_s10g15","male","photinus","obscurellus"
2954,661,654,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2546,1395,780,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2855,515,829,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2344,1761,1001,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2399,1700,1140,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2765,321,1175,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2598,989,1253,"mothra01.0615.2120","99.9%_s10g15","male","photinus","obscurellus"
2764,480,620,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
2186,1707,665,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
3005,921,820,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
945,1762,900,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
1963,1744,1237,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
2318,1161,1356,"mothra01.0615.2122","99.9%_s10g15","male","photinus","obscurellus"
2267,269,271,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2367,1257,634,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2553,822,646,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2446,1210,882,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2651,1577,960,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2895,617,1332,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2554,818,1344,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
2592,359,1482,"mothra01.0615.2124","99.9%_s10g15","male","photinus","obscurellus"
3438,870,18,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
2067,1787,36,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
3210,82,602,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
2486,694,630,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
8685,687,751,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
2183,428,1472,"mothra01.0615.2126","99.9%_s10g15","male","photinus","obscurellus"
2622,522,621,"mothra01.0615.2128","99.9%_s10g15","male","photinus","obscurellus"
4588,1749,883,"mothra01.0615.2128","99.9%_s10g15","male","photinus","obscurellus"
2636,390,1067,"mothra01.0615.2128","99.9%_s10g15","male","photinus","obscurellus"
2323,913,1448,"mothra01.0615.2128","99.9%_s10g15","male","photinus","obscurellus"
2411,602,70,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
314,1639,456,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
2618,1624,758,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
3463,1751,810,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
2900,1625,959,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
2284,1763,1003,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
2638,1113,1418,"mothra01.0615.2130","99.9%_s10g15","male","photinus","obscurellus"
4247,1599,512,"mothra01.0615.2132","99.9%_s10g15","male","photinus","obscurellus"
1035,1731,695,"mothra01.0615.2132","99.9%_s10g15","male","photinus","obscurellus"
1905,660,54,"mothra01.0615.2134","99.9%_s10g15","male","photinus","obscurellus"
2549,1343,949,"mothra01.0615.2134","99.9%_s10g15","male","photinus","obscurellus"
1949,1582,1393,"mothra01.0615.2134","99.9%_s10g15","male","photinus","obscurellus"
1143,1449,1489,"mothra01.0615.2134","99.9%_s10g15","male","photinus","obscurellus"
1159,1494,1487,"mothra01.0615.2134","99.9%_s10g15","male","photinus","obscurellus"
298,598,62,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
2797,1360,477,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
3112,1316,701,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
2694,1499,865,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
1857,1738,1124,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
2131,1625,1419,"mothra01.0615.2136","99.9%_s10g15","male","photinus","obscurellus"
1257,1232,72,"mothra01.0615.2138","99.9%_s10g15","male","photinus","obscurellus"
2053,435,139,"mothra01.0615.2138","99.9%_s10g15","male","photinus","obscurellus"
715,1639,457,"mothra01.0615.2138","99.9%_s10g15","male","photinus","obscurellus"
2195,1529,716,"mothra01.0615.2138","99.9%_s10g15","male","photinus","obscurellus"
3148,1758,1019,"mothra01.0615.2138","99.9%_s10g15","male","photinus","obscurellus"
992,496,106,"mothra01.0615.2140","99.9%_s10g15","male","photinus","obscurellus"
3092,139,456,"mothra01.0615.2140","99.9%_s10g15","male","photinus","obscurellus"
2515,1761,949,"mothra01.0615.2140","99.9%_s10g15","male","photinus","obscurellus"
1670,1612,1358,"mothra01.0615.2140","99.9%_s10g15","male","photinus","obscurellus"
2352,495,1260,"mothra01.0615.2142","99.9%_s10g15","male","photinus","obscurellus"
1170,200,313,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
1334,237,323,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
401,147,425,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
2312,1599,627,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
1001,1761,924,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
2553,338,1334,"mothra01.0615.2144","99.9%_s10g15","male","photinus","obscurellus"
2923,308,225,"mothra01.0615.2146","99.9%_s10g15","male","photinus","obscurellus"
1392,1759,988,"mothra01.0615.2146","99.9%_s10g15","male","photinus","obscurellus"
837,1789,1182,"mothra01.0615.2146","99.9%_s10g15","male","photinus","obscurellus"
2527,539,1229,"mothra01.0615.2146","99.9%_s10g15","male","photinus","obscurellus"
2857,983,780,"mothra01.0615.2148","99.9%_s10g15","male","photinus","obscurellus"
2632,1406,1552,"mothra01.0615.2148","99.9%_s10g15","male","photinus","obscurellus"
2357,104,352,"mothra01.0615.2150","99.9%_s10g15","male","photinus","obscurellus"
2205,1463,822,"mothra01.0615.2150","99.9%_s10g15","male","photinus","obscurellus"
1482,1699,1228,"mothra01.0615.2150","99.9%_s10g15","male","photinus","obscurellus"
1902,140,332,"mothra01.0615.2152","99.9%_s10g15","male","photinus","obscurellus"
1736,1607,1359,"mothra01.0615.2152","99.9%_s10g15","male","photinus","obscurellus"
3323,831,24,"mothra01.0615.2154","99.9%_s10g15","male","photinus","obscurellus"
376,150,300,"mothra01.0615.2154","99.9%_s10g15","male","photinus","obscurellus"
1886,1759,975,"mothra01.0615.2154","99.9%_s10g15","male","photinus","obscurellus"
1948,1500,193,"mothra01.0615.2156","99.9%_s10g15","male","photinus","obscurellus"
2860,1285,830,"mothra01.0615.2156","99.9%_s10g15","male","photinus","obscurellus"
884,1438,1532,"mothra01.0615.2158","99.9%_s10g15","male","photinus","obscurellus"
453,1402,1530,"mothra01.0615.2158","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2200","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2202","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2204","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2206","99.9%_s10g15","male","photinus","obscurellus"
0,NA,NA,"mothra01.0615.2208","99.9%_s10g15","male","photinus","obscurellus"
2336,1629,701,"mothra01.0615.2210","99.9%_s10g15","male","photinus","obscurellus"
2209,1611,453,"mothra01.0615.2212","99.9%_s10g15","male","photinus","obscurellus"
4157,1674,579,"mothra01.0615.2212","99.9%_s10g15","male","photinus","obscurellus"
1999,640,139,"mothra01.0615.2214","99.9%_s10g15","male","photinus","obscurellus"
2425,565,499,"mothra01.0615.2216","99.9%_s10g15","male","photinus","obscurellus"
2380,1338,335,"mothra01.0615.2218","99.9%_s10g15","male","photinus","obscurellus"
2431,1452,1147,"mothra01.0615.2220","99.9%_s10g15","male","photinus","obscurellus"
2420,1319,1075,"mothra01.0615.2222","99.9%_s10g15","male","photinus","obscurellus"
254,260,264,"mothra01.0615.2224","99.9%_s10g15","male","photinus","obscurellus"
2329,1094,1448,"mothra01.0615.2224","99.9%_s10g15","male","photinus","obscurellus"
1390,1321,113,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
2385,1438,1123,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
1282,1778,1295,"mothra01.0615.2226","99.9%_s10g15","male","photinus","obscurellus"
2178,1420,1296,"mothra01.0615.2228","99.9%_s10g15","male","photinus","obscurellus"
2401,1429,680,"mothra01.0615.2230","99.9%_s10g15","male","photinus","obscurellus"
536,354,1532,"mothra01.0615.2232","99.9%_s10g15","male","photinus","obscurellus"
2498,1313,1094,"mothra01.0615.2234","99.9%_s10g15","male","photinus","obscurellus"
1887,97,1196,"mothra01.0615.2234","99.9%_s10g15","male","photinus","obscurellus"
2315,118,883,"mothra01.0615.2236","99.9%_s10g15","male","photinus","obscurellus"
4068,168,1307,"mothra01.0615.2238","99.9%_s10g15","male","photinus","obscurellus"
2331,315,1319,"mothra01.0615.2238","99.9%_s10g15","male","photinus","obscurellus"
2924,965,17,"mothra01.0615.2240","99.9%_s10g15","male","photinus","obscurellus"
2226,1171,1346,"mothra01.0615.2240","99.9%_s10g15","male","photinus","obscurellus"
1325,1450,215,"mothra01.0615.2242","99.9%_s10g15","male","photinus","obscurellus"
2004,1324,232,"mothra01.0615.2242","99.9%_s10g15","male","photinus","obscurellus"
2367,1646,983,"mothra01.0615.2244","99.9%_s10g15","male","photinus","obscurellus"
3015,1445,839,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
2546,688,864,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
4359,55,911,"mothra01.0615.2246","99.9%_s10g15","male","photinus","obscurellus"
1701,100,544,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2946,1467,978,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2423,1454,1132,"mothra01.0615.2248","99.9%_s10g15","male","photinus","obscurellus"
2503,1290,927,"mothra01.0615.2250","99.9%_s10g15","male","photinus","obscurellus"
918,377,1543,"mothra01.0615.2250","99.9%_s10g15","male","photinus","obscurellus"
2860,1585,754,"mothra01.0615.2252","99.9%_s10g15","male","photinus","obscurellus"
2443,188,1195,"mothra01.0615.2252","99.9%_s10g15","male","photinus","obscurellus"
6214,554,218,"mothra01.0615.2254","99.9%_s10g15","male","photinus","obscurellus"
